We had to be a perfect country, in fact, I only counted 17 Ancient Cities on the map. We live in lands where all Civilizations want to live. It is truly magnificent! Again, there was a trip where we thought, “How was it done if it was such a long time ago?” You can enter the museum with a card or ticket entry is 25 TL. In the ancient city, there are churches, theaters and many other things that we cannot understand. You must visit 👏🏻 If you want to go to Dalyan, you must take the mermaid ferry for 35 TL in 5 minutes.;;;;;;;;;;;;;;;;
"MUST READ Friends who are going. Another location error. More than 1 hour waste of time and fuel!!!! It is possible to pass through Dalyan by ferry in 5 minutes. Do not wander around Köyceğiz Lake in vain. The maps do not show the ferry for some reason, so it shows a 2-hour route. If your route is from Marmaris to Dalyan, first visit Kaunos, then see the King Tombs, 1.7 km away, right before you cross the street (although it is closed, but can be seen more closely from the road or by entering the cemetery there). Then, take the ferry to Dalyan. (5 minutes and 32 TL) Coming to the ancient city, don't expect too much by looking at the comments, there isn't much preserved, it's more like a ruin. But it's definitely worth the trip. For example, I say that you should definitely see the mosaic that I put in the image. Some comments say ""forget all the ancient cities you've seen"" or something.";none;;;;;;;;;;;;;;;
Kaunos is an impressive ancient city. You can cross the road in 2-3 minutes by ferry from Dalyan. After that, you go a distance of about 5 minutes by car. The ferry fee is 32 liras. Since it is a 4 car ferry, it fills up immediately so you don't have to wait. B.C. It is thought that Anatolian people lived here in the 6th century. There are church ruins from the 6th century AD and a very beautiful ancient theater. There are information signs for each building. It is possible to see free-running goats. It is as if the works are not yet finished. I think over time it will become much more regular. The museum card is valid, if you don't have a museum card, the entrance is 25 lira. It's a must see place.;;;;;;;;;;;;;;;;
You may have to take some trouble for exciting transportation to visit beautiful historical places, but it is worth it. The ancient city, which is a museum area, is very big, as it is enjoyable to visit, but at least ignore your tiring 3-4 hours. I think it will be more fun if you do research before you go.;;;;;;;;;;;;;;;;
It is a beautiful ancient city. You can enter the museum with a card. The ancient city, formerly Kbid, is located in the middle of the Caria and Lycian roads. It is one of the places to go when you come to Köyceğiz. But most places are under renovation. The theater also collapsed. You can also see the famous royal tombs. You can come from both Çandır village and Dalyan by ferry. The village is also very cute. If you come from Çandır, the road is very beautiful. You can also stop by Ekincik Bay and Sultaniye Hot Springs on the road.;;;;;;;;;;;;;;;;
To reach the ruins of the city of Kaunos, we crossed by boat and followed the walking path to the old world. The journey by boat took 5-10 minutes on average. It was very nice to experience the peace of being in the calm waters of Dalyan river. The walking path took 20-25 minutes. Our tour time in the city was 1 and a half and 2 hours, if you are curious, it can take even longer. There is a counter on the way before reaching the ancient city, wonderful handmade products, pomegranate juice, soap, oils, replicas of the coins used by the inhabitants of the ancient city of Kaunos, souvenirs... A must-visit place on vacation...+ PLEASE DO NOT THROW YOUR CIGARETTE BUTTS AND TRASH...;;;;;;;;;;;;;;;;
The ancient city in Dalyan. A must visit when in the area. Entry with a museum card. The ticket was 25 TL. The view is also very good. There are different alternatives for transportation. It is possible to reach by boat, ferry or car.;;;;;;;;;;;;;;;;
Forget about all the ancient cities you've seen before... Whether you're interested in history or not, the Ancient City of Kaunos amazes you with the mystery of a civilization thousands of years ago and its incredible mechanical genius for the quality of life. I strongly recommend you to visit.;;;;;;;;;;;;;;;;
We are very impressed here. It's a place worth spending a lot of time exploring. We passed here from Dalyan by ferry and our car. There is an entrance with a museum card. Restoration work continues. A lost secret history.;;;;;;;;;;;;;;;;
Spring months are very suitable for visiting the region. We rented a boat from Dalyan, bought blue crabs from the cooperative on the way and had them cooked on the boat, it was a great trip. Excavations had just begun in Kaunos, and the accident tombs are wonderful.;;;;;;;;;;;;;;;;
It is a place that can be visited all day long with its surroundings. When you climb the castle, a magnificent view where you can see the Iztuzu, the ancient city and Dalyan rock tombs in 360 degrees awaits you.;;;;;;;;;;;;;;;;
We came across a period in which excavations were continuing. The theater stage and the main building were closed. You can enter Dalyan or Köyceğiz with an ancient city muzekkart, which those who pass by can visit and see.;;;;;;;;;;;;;;;;
Great place absolutely bridal atmosphere is great. But everything except water is exorbitantly priced, sprite 27 TL, ice cream 40 TL, these numbers are quite fantastic, the entrance fee is 20 TL per person, free for children.;;;;;;;;;;;;;;;;
If you are a stone and ancient civilization lover like me, definitely go. Excavations are still going on. See what ancient people did. You can log in with a Muzekart, which is more convenient. Get a hat and sturdy shoes or slippers.;;;;;;;;;;;;;;;;
Inside the ruins of the 6th century BC, a church from the 6th century AD, the Amphitheater with a magnificent view. You can enter with your museum card.;;;;;;;;;;;;;;;;
Well preserved, interesting ancient city to see. A museum card is sold at the entrance, you can also enter with the barcode of the museum card application you get from your smartphone. It is also possible to reach the region with the small car ferry.;;;;;;;;;;;;;;;;
I went 3 times and it's an amazing place.. definitely a place to go. If you have a museum card, the entrance is free, otherwise you pay 25 TL per person.;;;;;;;;;;;;;;;;
A place that I can recommend to anyone who likes to visit historical places is the ancient city of Kaunos. It is a place where you can cross from Dalyan by boat and reach it with a 10-minute walk. Don't forget to take your water with you. Before you go, do your research about kaunos and wander around the ancient city. It was pleasant experience.;;;;;;;;;;;;;;;;
Caunos BC An ancient city belonging to a home is in disrepair. Excavations are still going on. It's not a place worth going especially, but they talk to tours in Dalyan and they drop off and pick you up as a last stop. There is an entrance fee of 25 TL, don't forget to take your museum card with you. Haaaa, 30 meters before the entrance, you can pass through the wires on the left, they left it open.;;;;;;;;;;;;;;;;
You have several options to come here. Either by car from the west side of Köyceğiz, by ferry from the center of Dalyan, by your car again, or by walking across the boats drawn by the very sweet sisters from the center of Dalyan. We went by boat (20 TL round trip per person). Then we reached the ancient city by walking in front of the king tombs, through a very cute village, and we had a great time. If you like walking, I suggest you go with the last option, taking into account that you will also visit the ancient city. Enjoyable walks.;;;;;;;;;;;;;;;;
Work continues on the ancient city. Museum card is valid. Landscape is very beautiful. Advice go after 16:00. We used the rowing boat crossing from Dalyan. The boat dropped us off at Meriç Büfe. Along the way, local aunts sell pomegranate juice, orange juice, honey and knitted clothes. We drank pomegranate juice from both aunts, they were both very nice. It is 25-30 minutes walking distance between the bus stop and the city.;;;;;;;;;;;;;;;;
"We had a very nice ancient city tour. It would be great if there was a guide. It is also possible to find interesting information on the internet about the ""green-faced urban dwellers"". Keep your eyes on the stones on the way to the temple, both out of respect and you may sprain your feet.";;;;;;;;;;;;;;;;
ancient city entrance fee is 25 tl under 18 is free. It is a beautiful place with ancient ruins spread over a large area. It can be seen if you have an interest and love for history. Don't go without a hat and without water. It's a 15-minute walk from Dalyan by ferry for 8.50 TL per person.;;;;;;;;;;;;;;;;
An unmissable ancient city. You can easily cross from Dalyan by ferries with 3-4 cars departing every 15 minutes.;;;;;;;;;;;;;;;;
The place smells very nice of history, there is an amphitheater with a beautiful view, the entrance price is very affordable, and there is a museum card at the same time.;;;;;;;;;;;;;;;;
Kaunos, which was a commercially important port city in Antiquity, lost its port feature over time as the sea was filled with alluvium. It is an ancient city located in the Caria region of Anatolia. It is located within the borders of Çandır Neighborhood of Köyceğiz district of Muğla. The Kaunos Rock Tombs are most easily seen from the Dalyan neighborhood of the Ortaca district of Muğla.;;;;;;;;;;;;;;;;
One of the historical places of our country that must be visited, it enchants people with its history, scenery and beauty, and it is a beautiful and clean well-kept place.;;;;;;;;;;;;;;;;
It is a very beautiful and historical ancient city, if only the marbles for restoration were a bit like the real thing.;;;;;;;;;;;;;;;;
Restoration works for a very large ancient city worth seeing are continuing, but there is no restoration that reflects much history, frankly, excavations continue here.;;;;;;;;;;;;;;;;
When you come to Dalyan, make a tour by boat and take a break in the ancient city of Kaunos, or after about 2 km (if I remember correctly) after crossing the pier by car ferry, you reach the ancient city. You arrive at the city after a 10-15 minute walk and I would definitely recommend you to climb to the top of the theater and enjoy the view from the highest angle possible. The atmosphere of those times and the beauty that cannot be enjoyed.;;;;;;;;;;;;;;;;
The entrance fee is 20 TL. Museum card is valid for the year 2022. details are at bujuyollarda.com;;;;;;;;;;;;;;;;
Kaunos was a wonderful ancient city. It is much more visited than many ancient cities in the vicinity. Especially the part of Agora square was quite impressive.;;;;;;;;;;;;;;;;
The road passes around Köyceğiz Lake and connects to the mountain road. The roads are very curved, but it is a historical structure worth seeing. You can see the rock tombs, which are visible in the photos, by the riverside by ferrying to Dalyan. It is also seen by Dalyan.;;;;;;;;;;;;;;;;
Entrance is available with a museum card. Entrance is free with a teacher card. Individual admission is 17 TL. Directions are few. There are very beautiful buildings, the view of the ancient theater is magnificent. The roads on the temple side are very beautiful. Excavations continue.;;;;;;;;;;;;;;;;
